epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.073,1.42884,4.55049,1.72595,0.63015,0.07275,0.05312,0.03061,1.37288,3.02503,1.85355,3.13003e-05,3.13003e-05,3.13003e-05
2,585.856,1.3596,3.45017,1.62367,0.63465,0.1472,0.12247,0.07026,1.35666,2.35695,1.8269,6.05667e-05,6.05667e-05,6.05667e-05
3,869.777,1.34265,2.95309,1.59129,0.5835,0.22146,0.18755,0.10902,1.35058,2.10779,1.80304,8.77652e-05,8.77652e-05,8.77652e-05
4,1152.26,1.32205,2.64786,1.56756,0.49298,0.27793,0.23777,0.14161,1.33908,1.90833,1.79472,8.4694e-05,8.4694e-05,8.4694e-05
5,1434.34,1.30181,2.43462,1.54622,0.5523,0.29733,0.28056,0.16969,1.32755,1.7844,1.77419,8.1592e-05,8.1592e-05,8.1592e-05
6,1727.51,1.28865,2.29321,1.53537,0.55179,0.32489,0.30486,0.18483,1.31033,1.67416,1.75585,7.849e-05,7.849e-05,7.849e-05
7,2009.31,1.27904,2.17155,1.52746,0.47958,0.36308,0.33332,0.2014,1.30635,1.62391,1.74788,7.5388e-05,7.5388e-05,7.5388e-05
8,2331.86,1.27279,2.09382,1.51935,0.48494,0.39122,0.35293,0.21148,1.30032,1.55582,1.72916,7.2286e-05,7.2286e-05,7.2286e-05
9,2672.26,1.2672,2.01917,1.51325,0.49574,0.40615,0.3638,0.21963,1.29813,1.52665,1.73641,6.9184e-05,6.9184e-05,6.9184e-05
10,2972.9,1.25095,1.94618,1.49987,0.49535,0.42045,0.37857,0.22939,1.3009,1.47504,1.73168,6.6082e-05,6.6082e-05,6.6082e-05
11,3257.66,1.24998,1.90923,1.50257,0.45687,0.45697,0.39596,0.24451,1.28679,1.43918,1.71942,6.298e-05,6.298e-05,6.298e-05
12,3540.89,1.2464,1.85837,1.49112,0.47828,0.45267,0.40383,0.2477,1.28916,1.42268,1.72199,5.9878e-05,5.9878e-05,5.9878e-05
13,3821.45,1.24257,1.81681,1.49195,0.49408,0.43615,0.41474,0.256,1.27322,1.41007,1.7054,5.6776e-05,5.6776e-05,5.6776e-05
14,4104.08,1.23479,1.77829,1.48485,0.48316,0.46441,0.41992,0.26261,1.27036,1.38116,1.69845,5.3674e-05,5.3674e-05,5.3674e-05
15,4383.75,1.22208,1.73547,1.47568,0.46787,0.47383,0.4245,0.26479,1.27436,1.35232,1.69745,5.0572e-05,5.0572e-05,5.0572e-05
16,4666.53,1.22682,1.725,1.47701,0.49805,0.45621,0.43342,0.27071,1.2663,1.34459,1.6931,4.747e-05,4.747e-05,4.747e-05
17,5022.19,1.21925,1.6839,1.47163,0.48025,0.47972,0.44727,0.27872,1.27156,1.32074,1.69793,4.4368e-05,4.4368e-05,4.4368e-05
18,5411.58,1.20994,1.65715,1.4675,0.47517,0.49319,0.44289,0.27773,1.25787,1.3153,1.68099,4.1266e-05,4.1266e-05,4.1266e-05
19,5734.38,1.21424,1.64236,1.468,0.47006,0.50599,0.45665,0.28871,1.25801,1.30476,1.68302,3.8164e-05,3.8164e-05,3.8164e-05
20,6056.19,1.20602,1.62269,1.4622,0.49117,0.49195,0.45992,0.28921,1.25882,1.29122,1.68356,3.5062e-05,3.5062e-05,3.5062e-05
21,6359.75,1.16943,1.41219,1.58148,0.4912,0.47444,0.45229,0.28668,1.25741,1.28096,1.67699,3.196e-05,3.196e-05,3.196e-05
22,6625.52,1.15342,1.34013,1.56571,0.50097,0.46612,0.46654,0.29431,1.24836,1.27436,1.67328,2.8858e-05,2.8858e-05,2.8858e-05
23,6890.01,1.14174,1.30186,1.5534,0.46548,0.51948,0.47106,0.29866,1.24396,1.26118,1.66594,2.5756e-05,2.5756e-05,2.5756e-05
24,7155.32,1.13323,1.27668,1.54916,0.47764,0.5134,0.4755,0.30073,1.24802,1.25672,1.67002,2.2654e-05,2.2654e-05,2.2654e-05
25,7421.71,1.12365,1.24429,1.54184,0.48107,0.51142,0.4741,0.29985,1.25007,1.25685,1.67106,1.9552e-05,1.9552e-05,1.9552e-05
26,7692.03,1.11796,1.23425,1.5379,0.48136,0.51805,0.48231,0.30662,1.24588,1.24936,1.66874,1.645e-05,1.645e-05,1.645e-05
27,7959.59,1.11091,1.21294,1.52826,0.52457,0.49706,0.48228,0.30586,1.24568,1.24629,1.66893,1.3348e-05,1.3348e-05,1.3348e-05
28,8228.11,1.10546,1.20119,1.5253,0.51857,0.49483,0.48499,0.30746,1.24449,1.24567,1.66763,1.0246e-05,1.0246e-05,1.0246e-05
29,8494.8,1.09868,1.18597,1.52093,0.52344,0.49517,0.49015,0.31053,1.24587,1.23879,1.66951,7.144e-06,7.144e-06,7.144e-06
30,8762.61,1.09745,1.17738,1.51892,0.52925,0.47887,0.49086,0.31176,1.24704,1.23649,1.66971,4.042e-06,4.042e-06,4.042e-06
